2026-03-31 06:03:28,DOWN,1.57,PLACED,0.00%,directional|KXSOL15M-26MAR310215-15
2026-03-31 06:04:23,UP,0.78,WIN,94.00%,directional|KXBTC15M-26MAR310200-00
2026-03-31 06:19:31,DOWN,1.09,WIN,94.00%,directional|KXBTC15M-26MAR310215-15
2026-03-31 06:19:37,DOWN,1.57,WIN,94.00%,directional|KXSOL15M-26MAR310215-15
2026-03-31 07:17:57,DOWN,1.32,PLACED,0.00%,directional|KXBTC15M-26MAR310330-30
2026-03-31 07:19:04,DOWN,2.64,PLACED,0.00%,directional|KXSOL15M-26MAR310330-30
2026-03-31 07:34:08,DOWN,1.32,WIN,94.00%,directional|KXBTC15M-26MAR310330-30
2026-03-31 07:35:14,DOWN,2.64,WIN,94.00%,directional|KXSOL15M-26MAR310330-30
2026-03-31 07:46:19,UP,1.82,PLACED,0.00%,directional|KXSOL15M-26MAR310400-00
2026-03-31 07:47:14,UP,1.19,PLACED,0.00%,directional|KXBTC15M-26MAR310400-00
2026-03-31 08:02:24,DOWN,1.38,PLACED,0.00%,directional|KXBTC15M-26MAR310415-15
2026-03-31 08:02:30,DOWN,1.89,PLACED,0.00%,directional|KXSOL15M-26MAR310415-15
2026-03-31 08:02:31,UP,1.82,WIN,94.00%,directional|KXSOL15M-26MAR310400-00
2026-03-31 08:03:25,UP,1.19,WIN,94.00%,directional|KXBTC15M-26MAR310400-00
2026-03-31 08:18:34,DOWN,1.38,LOSS,-100.00%,directional|KXBTC15M-26MAR310415-15
2026-03-31 08:18:39,DOWN,1.89,WIN,94.00%,directional|KXSOL15M-26MAR310415-15
2026-03-31 08:32:40,DOWN,1.55,PLACED,0.00%,directional|KXBTC15M-26MAR310445-45
2026-03-31 08:33:47,DOWN,2.65,PLACED,0.00%,directional|KXSOL15M-26MAR310445-45
2026-03-31 08:46:50,DOWN,0.93,PLACED,0.00%,directional|KXBTC15M-26MAR310500-00
2026-03-31 08:48:52,DOWN,1.55,WIN,94.00%,directional|KXBTC15M-26MAR310445-45
2026-03-31 08:49:57,DOWN,2.65,WIN,94.00%,directional|KXSOL15M-26MAR310445-45
2026-03-31 09:03:00,DOWN,0.93,WIN,94.00%,directional|KXBTC15M-26MAR310500-00
2026-03-31 09:19:09,DOWN,1.78,PLACED,0.00%,directional|KXBTC15M-26MAR310530-30
2026-03-31 09:19:11,DOWN,1.84,PLACED,0.00%,directional|KXSOL15M-26MAR310530-30
2026-03-31 09:35:18,DOWN,1.78,WIN,94.00%,directional|KXBTC15M-26MAR310530-30
2026-03-31 09:35:20,DOWN,1.84,WIN,94.00%,directional|KXSOL15M-26MAR310530-30
2026-03-31 09:48:25,DOWN,1.25,PLACED,0.00%,directional|KXBTC15M-26MAR310600-00
2026-03-31 10:04:35,DOWN,1.25,WIN,94.00%,directional|KXBTC15M-26MAR310600-00
2026-03-31 11:17:08,UP,2.11,PLACED,0.00%,directional|KXBTC15M-26MAR310730-30
2026-03-31 11:18:08,UP,3.69,PLACED,0.00%,directional|KXSOL15M-26MAR310730-30
2026-03-31 11:33:18,UP,2.11,WIN,94.00%,directional|KXBTC15M-26MAR310730-30
2026-03-31 11:34:18,UP,3.69,WIN,94.00%,directional|KXSOL15M-26MAR310730-30
2026-03-31 11:47:26,DOWN,2.12,PLACED,0.00%,directional|KXBTC15M-26MAR310800-00
2026-03-31 12:03:32,UP,1.77,PLACED,0.00%,directional|KXSOL15M-26MAR310815-15
2026-03-31 12:03:36,DOWN,2.12,WIN,94.00%,directional|KXBTC15M-26MAR310800-00
2026-03-31 12:04:37,UP,1.49,PLACED,0.00%,directional|KXBTC15M-26MAR310815-15
2026-03-31 12:19:41,UP,2.08,PLACED,0.00%,directional|KXSOL15M-26MAR310830-30
2026-03-31 12:19:42,UP,1.77,LOSS,-100.00%,directional|KXSOL15M-26MAR310815-15
2026-03-31 12:20:47,UP,1.49,LOSS,-100.00%,directional|KXBTC15M-26MAR310815-15
2026-03-31 12:35:52,UP,2.08,WIN,94.00%,directional|KXSOL15M-26MAR310830-30
2026-03-31 12:49:59,DOWN,2.70,PLACED,0.00%,directional|KXSOL15M-26MAR310900-00
2026-03-31 12:50:01,DOWN,2.08,PLACED,0.00%,directional|KXBTC15M-26MAR310900-00
2026-03-31 13:46:47,UP,3.90,PLACED,0.00%,directional|KXSOL15M-26MAR311000-00
2026-03-31 13:48:04,UP,2.61,PLACED,0.00%,directional|KXBTC15M-26MAR311000-00
2026-03-31 14:01:02,UP,2.05,PLACED,0.00%,directional|KXSOL15M-26MAR311015-15
2026-03-31 14:01:12,UP,2.37,PLACED,0.00%,directional|KXBTC15M-26MAR311015-15
